date	hour	nb_streamer	nb_spec
30-Sep-11	22	68	1354
30-Sep-11	23	99	1324
1-Oct-11	0	99	1539
1-Oct-11	1	100	1763
1-Oct-11	2	96	1820
1-Oct-11	3	91	1419
1-Oct-11	4	77	1220
1-Oct-11	5	70	1027
1-Oct-11	6	62	1236
1-Oct-11	7	63	1853
1-Oct-11	8	48	1693
1-Oct-11	9	39	703
1-Oct-11	10	33	589
1-Oct-11	11	33	630
1-Oct-11	12	31	784
1-Oct-11	13	35	796
1-Oct-11	14	41	839
1-Oct-11	15	48	984
1-Oct-11	16	59	1202
1-Oct-11	17	60	1210
1-Oct-11	18	68	1803
1-Oct-11	19	80	1660
1-Oct-11	20	80	1247
1-Oct-11	21	86	1263
1-Oct-11	22	85	1063
1-Oct-11	23	76	1137
2-Oct-11	0	66	1169
2-Oct-11	1	61	934
2-Oct-11	2	65	1361
2-Oct-11	3	68	1747
2-Oct-11	4	59	1698
2-Oct-11	5	55	1391
2-Oct-11	6	41	758
2-Oct-11	7	36	971
2-Oct-11	8	40	842
2-Oct-11	9	34	885
2-Oct-11	10	33	751
2-Oct-11	11	29	764
2-Oct-11	12	31	848
2-Oct-11	13	25	893
2-Oct-11	14	32	1065
2-Oct-11	15	36	1100
2-Oct-11	16	47	1427
2-Oct-11	17	54	1415
2-Oct-11	18	57	1333
2-Oct-11	19	53	1032
2-Oct-11	20	51	1445
2-Oct-11	21	64	1324
2-Oct-11	22	58	1243
2-Oct-11	23	60	935
3-Oct-11	0	54	682
3-Oct-11	1	55	856
3-Oct-11	2	50	786
3-Oct-11	3	50	1021
3-Oct-11	4	44	914
3-Oct-11	5	40	847
3-Oct-11	6	39	888
3-Oct-11	7	32	784
3-Oct-11	8	23	622
3-Oct-11	9	19	577
3-Oct-11	10	16	526
3-Oct-11	11	18	577
3-Oct-11	12	20	802
3-Oct-11	13	22	683
3-Oct-11	14	23	644
3-Oct-11	15	27	684
3-Oct-11	16	29	732
3-Oct-11	17	36	626
3-Oct-11	18	32	637
