date	hour	nb_streamer	nb_spec
30-Sep-11	22	1	2
30-Sep-11	23	1	7
1-Oct-11	0	2	142
1-Oct-11	1	1	6
1-Oct-11	2	1	12
1-Oct-11	3	1	21
1-Oct-11	4	2	17
1-Oct-11	5	2	14
1-Oct-11	6	1	4
1-Oct-11	7	2	7
1-Oct-11	8	1	4
1-Oct-11	9	1	3
1-Oct-11	10	3	21
1-Oct-11	11	1	33
1-Oct-11	12	1	48
1-Oct-11	13	1	38
1-Oct-11	14	2	1
1-Oct-11	15	2	2
1-Oct-11	19	1	2
1-Oct-11	20	1	4
1-Oct-11	21	2	9
1-Oct-11	22	2	19
1-Oct-11	23	2	25
2-Oct-11	0	2	8
2-Oct-11	1	1	8
2-Oct-11	2	1	8
2-Oct-11	3	1	5
2-Oct-11	4	2	21
2-Oct-11	5	1	15
2-Oct-11	6	1	15
2-Oct-11	13	1	1
2-Oct-11	14	1	41
2-Oct-11	15	3	91
2-Oct-11	16	3	118
2-Oct-11	17	2	16
2-Oct-11	18	1	2
2-Oct-11	19	2	6
2-Oct-11	20	3	9
2-Oct-11	21	4	34
2-Oct-11	22	2	26
2-Oct-11	23	3	31
3-Oct-11	0	2	28
3-Oct-11	1	3	45
3-Oct-11	2	3	57
3-Oct-11	3	1	29
3-Oct-11	7	1	8
3-Oct-11	8	1	14
3-Oct-11	9	1	16
3-Oct-11	10	1	14
3-Oct-11	11	1	13
3-Oct-11	22	1	0
3-Oct-11	23	2	12
4-Oct-11	0	2	9
4-Oct-11	1	1	3
4-Oct-11	6	2	4
4-Oct-11	7	1	2
4-Oct-11	9	1	0
4-Oct-11	10	1	5
4-Oct-11	11	1	9
4-Oct-11	16	1	2
4-Oct-11	17	1	5
4-Oct-11	18	1	4
4-Oct-11	19	1	4
4-Oct-11	20	2	4
4-Oct-11	21	1	4
4-Oct-11	22	1	1
5-Oct-11	4	2	3
5-Oct-11	5	2	8
5-Oct-11	6	3	12
5-Oct-11	7	4	16
5-Oct-11	8	3	20
5-Oct-11	9	2	18
5-Oct-11	10	2	22
5-Oct-11	11	1	13
5-Oct-11	12	1	1
5-Oct-11	18	2	27
5-Oct-11	19	2	29
5-Oct-11	20	3	4
5-Oct-11	21	2	2
5-Oct-11	22	2	1
5-Oct-11	23	1	1
6-Oct-11	3	2	6
6-Oct-11	4	4	10
6-Oct-11	5	3	6
6-Oct-11	6	2	12
6-Oct-11	7	3	23
6-Oct-11	8	3	29
6-Oct-11	9	2	22
6-Oct-11	10	2	17
6-Oct-11	12	1	1
6-Oct-11	13	1	1
6-Oct-11	15	1	3
6-Oct-11	16	2	3
6-Oct-11	17	1	1
6-Oct-11	18	1	1
6-Oct-11	19	1	1
6-Oct-11	20	2	1
6-Oct-11	21	1	1
6-Oct-11	23	1	2
7-Oct-11	0	1	3
7-Oct-11	4	1	2
7-Oct-11	5	1	2
7-Oct-11	7	2	5
7-Oct-11	8	1	1
7-Oct-11	13	1	1
7-Oct-11	14	1	1
7-Oct-11	15	1	1
7-Oct-11	16	1	1
7-Oct-11	17	1	2
7-Oct-11	18	1	4
7-Oct-11	19	2	5
7-Oct-11	20	3	6
7-Oct-11	21	4	17
7-Oct-11	22	3	16
7-Oct-11	23	2	12
8-Oct-11	0	1	5
