date	hour	nb_streamer	nb_spec
30-Sep-11	22	1	37
30-Sep-11	23	1	31
1-Oct-11	0	1	16
1-Oct-11	1	1	14
1-Oct-11	2	1	13
1-Oct-11	3	2	12
1-Oct-11	4	4	19
1-Oct-11	5	3	14
1-Oct-11	6	3	21
1-Oct-11	7	2	26
1-Oct-11	8	2	24
1-Oct-11	9	2	22
1-Oct-11	10	2	27
1-Oct-11	11	3	39
1-Oct-11	12	3	45
1-Oct-11	13	1	48
1-Oct-11	14	1	91
1-Oct-11	15	2	81
1-Oct-11	16	2	77
1-Oct-11	17	3	133
1-Oct-11	18	4	160
1-Oct-11	19	3	208
1-Oct-11	20	4	212
1-Oct-11	21	5	225
1-Oct-11	22	4	225
1-Oct-11	23	3	157
2-Oct-11	0	4	135
2-Oct-11	1	2	131
2-Oct-11	2	3	104
2-Oct-11	3	3	93
2-Oct-11	4	4	68
2-Oct-11	5	3	48
2-Oct-11	6	3	68
2-Oct-11	7	3	80
2-Oct-11	8	3	84
2-Oct-11	9	3	49
2-Oct-11	10	4	61
2-Oct-11	11	3	39
2-Oct-11	12	2	48
2-Oct-11	13	2	71
2-Oct-11	14	2	76
2-Oct-11	15	3	53
2-Oct-11	16	2	67
2-Oct-11	17	2	111
2-Oct-11	18	4	52
2-Oct-11	19	3	53
2-Oct-11	20	3	273
2-Oct-11	21	3	125
2-Oct-11	22	3	78
2-Oct-11	23	3	52
3-Oct-11	0	2	42
3-Oct-11	1	1	31
3-Oct-11	2	2	80
3-Oct-11	3	3	95
3-Oct-11	4	3	110
3-Oct-11	5	2	107
3-Oct-11	6	3	79
3-Oct-11	7	2	23
3-Oct-11	8	3	32
3-Oct-11	9	2	36
3-Oct-11	10	2	46
3-Oct-11	11	3	48
3-Oct-11	12	3	71
3-Oct-11	13	3	96
3-Oct-11	14	2	74
3-Oct-11	15	4	82
3-Oct-11	16	2	86
3-Oct-11	17	3	129
3-Oct-11	18	3	91
3-Oct-11	19	2	41
3-Oct-11	20	3	38
3-Oct-11	21	4	49
3-Oct-11	22	5	42
3-Oct-11	23	5	31
4-Oct-11	0	4	37
4-Oct-11	1	4	16
4-Oct-11	2	6	40
4-Oct-11	3	4	47
4-Oct-11	4	3	56
4-Oct-11	5	3	40
4-Oct-11	6	3	27
4-Oct-11	7	3	36
4-Oct-11	8	3	36
4-Oct-11	9	3	33
4-Oct-11	10	3	41
4-Oct-11	11	3	63
4-Oct-11	12	3	64
4-Oct-11	13	2	71
4-Oct-11	14	2	64
4-Oct-11	15	2	69
4-Oct-11	16	3	79
4-Oct-11	17	3	84
4-Oct-11	18	4	50
4-Oct-11	19	4	57
4-Oct-11	20	4	49
4-Oct-11	21	4	41
4-Oct-11	22	2	23
4-Oct-11	23	2	39
5-Oct-11	0	2	17
5-Oct-11	1	1	9
5-Oct-11	2	2	14
5-Oct-11	3	2	5
5-Oct-11	4	1	4
5-Oct-11	5	2	6
5-Oct-11	6	2	8
5-Oct-11	7	2	9
5-Oct-11	8	3	29
5-Oct-11	9	3	32
5-Oct-11	10	3	46
5-Oct-11	11	3	34
5-Oct-11	12	3	52
5-Oct-11	13	3	68
5-Oct-11	14	2	52
5-Oct-11	15	2	46
5-Oct-11	16	2	26
5-Oct-11	17	2	30
5-Oct-11	18	2	26
5-Oct-11	19	3	13
5-Oct-11	20	3	16
5-Oct-11	21	2	9
5-Oct-11	22	3	15
5-Oct-11	23	2	11
6-Oct-11	0	2	11
6-Oct-11	1	2	9
6-Oct-11	2	5	25
6-Oct-11	3	5	20
6-Oct-11	4	3	12
6-Oct-11	5	3	10
6-Oct-11	6	2	8
6-Oct-11	7	2	6
6-Oct-11	8	2	7
6-Oct-11	9	2	11
6-Oct-11	10	2	14
6-Oct-11	11	3	18
6-Oct-11	12	3	32
6-Oct-11	13	3	25
6-Oct-11	14	3	29
6-Oct-11	15	3	33
6-Oct-11	16	3	25
6-Oct-11	17	4	23
6-Oct-11	18	3	8
6-Oct-11	19	3	11
6-Oct-11	20	4	16
6-Oct-11	21	3	22
6-Oct-11	22	3	528
6-Oct-11	23	2	6
7-Oct-11	0	1	3
7-Oct-11	1	2	9
7-Oct-11	2	5	13
7-Oct-11	3	6	13
7-Oct-11	4	6	31
7-Oct-11	5	6	40
7-Oct-11	6	3	18
7-Oct-11	7	3	18
7-Oct-11	8	3	20
7-Oct-11	9	3	38
7-Oct-11	10	3	27
7-Oct-11	11	3	31
7-Oct-11	12	3	31
7-Oct-11	13	3	39
7-Oct-11	14	2	46
7-Oct-11	15	3	60
7-Oct-11	16	3	106
7-Oct-11	17	3	63
7-Oct-11	18	3	35
7-Oct-11	19	3	32
7-Oct-11	20	4	37
7-Oct-11	21	5	34
7-Oct-11	22	8	43
7-Oct-11	23	7	60
8-Oct-11	0	8	54
8-Oct-11	1	8	38
8-Oct-11	2	8	125
8-Oct-11	3	8	589
8-Oct-11	4	4	253
8-Oct-11	5	1	15
8-Oct-11	6	1	14
8-Oct-11	7	1	20
8-Oct-11	8	1	15
8-Oct-11	9	1	16
8-Oct-11	10	2	35
8-Oct-11	11	2	40
