game	date	hour	nb_streamer	nb_spec
Battlefield	30-sept-11	22	68	1354
Battlefield	30-sept-11	23	99	1324
Battlefield	01-oct-11	0	99	1539
Battlefield	01-oct-11	1	100	1763
Battlefield	01-oct-11	2	96	1820
Battlefield	01-oct-11	3	91	1419
Battlefield	01-oct-11	4	77	1220
Battlefield	01-oct-11	5	70	1027
Battlefield	01-oct-11	6	62	1236
Battlefield	01-oct-11	7	63	1853
Battlefield	01-oct-11	8	48	1693
Battlefield	01-oct-11	9	39	703
Battlefield	01-oct-11	10	33	589
Battlefield	01-oct-11	11	33	630
Battlefield	01-oct-11	12	31	784
Battlefield	01-oct-11	13	35	796
Battlefield	01-oct-11	14	41	839
Battlefield	01-oct-11	15	48	984
Battlefield	01-oct-11	16	59	1202
Battlefield	01-oct-11	17	60	1210
Battlefield	01-oct-11	18	68	1803
Battlefield	01-oct-11	19	80	1660
Battlefield	01-oct-11	20	80	1247
Battlefield	01-oct-11	21	86	1263
Battlefield	01-oct-11	22	85	1063
Battlefield	01-oct-11	23	76	1137
Battlefield	02-oct-11	0	66	1169
Battlefield	02-oct-11	1	61	934
Battlefield	02-oct-11	2	65	1361
Battlefield	02-oct-11	3	68	1747
Battlefield	02-oct-11	4	59	1698
Battlefield	02-oct-11	5	55	1391
Battlefield	02-oct-11	6	41	758
Battlefield	02-oct-11	7	36	971
Battlefield	02-oct-11	8	40	842
Battlefield	02-oct-11	9	34	885
Battlefield	02-oct-11	10	33	751
Battlefield	02-oct-11	11	29	764
Battlefield	02-oct-11	12	31	848
Battlefield	02-oct-11	13	25	893
Battlefield	02-oct-11	14	32	1065
Battlefield	02-oct-11	15	36	1100
Battlefield	02-oct-11	16	47	1427
Battlefield	02-oct-11	17	54	1415
Battlefield	02-oct-11	18	57	1333
Battlefield	02-oct-11	19	53	1032
Battlefield	02-oct-11	20	51	1445
Battlefield	02-oct-11	21	64	1324
Battlefield	02-oct-11	22	58	1243
Battlefield	02-oct-11	23	60	935
Battlefield	03-oct-11	0	54	682
Battlefield	03-oct-11	1	55	856
Battlefield	03-oct-11	2	50	786
Battlefield	03-oct-11	3	50	1021
Battlefield	03-oct-11	4	44	914
Battlefield	03-oct-11	5	40	847
Battlefield	03-oct-11	6	39	888
Battlefield	03-oct-11	7	32	784
Battlefield	03-oct-11	8	23	622
Battlefield	03-oct-11	9	19	577
Battlefield	03-oct-11	10	16	526
Battlefield	03-oct-11	11	18	577
Battlefield	03-oct-11	12	20	802
Battlefield	03-oct-11	13	22	683
Battlefield	03-oct-11	14	23	644
Battlefield	03-oct-11	15	27	684
Battlefield	03-oct-11	16	29	732
Battlefield	03-oct-11	17	36	626
Battlefield	03-oct-11	18	32	637
Battlefield	03-oct-11	19	41	696
Battlefield	03-oct-11	20	42	954
Battlefield	03-oct-11	21	37	2326
Battlefield	03-oct-11	22	44	1985
Battlefield	03-oct-11	23	37	769
